,Borough,Neighborhood,Latitude,Longitude,Geographic code,"Population, 2016"
0,Scarborough,"Rouge, Malvern",43.8066863,-79.19435340000003,M1B,66108.0
1,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,M1C,35626.0
2,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,M1E,46943.0
3,Scarborough,Woburn,43.7709921,-79.21691740000001,M1G,29690.0
4,Scarborough,Cedarbrae,43.773136,-79.23947609999998,M1H,24383.0
5,Scarborough,Scarborough Village,43.7447342,-79.23947609999998,M1J,36699.0
6,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,M1K,48434.0
7,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7111117,-79.2845772,M1L,35081.0
8,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999998,M1M,22913.0
9,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,M1N,22136.0
10,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000002,M1P,45571.0
11,Scarborough,"Maryvale, Wexford",43.7500715,-79.2958491,M1R,29858.0
12,Scarborough,Agincourt,43.7942003,-79.26202940000002,M1S,37769.0
13,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,M1T,34588.0
14,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,M1V,54680.0
15,Scarborough,L'Amoreaux West,43.79952520000001,-79.3183887,M1W,48471.0
16,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999998,M1X,15097.0
17,North York,Hillcrest Village,43.8037622,-79.3634517,M2H,24497.0
18,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,M2J,58293.0
19,North York,Bayview Village,43.7869473,-79.385975,M2K,23852.0
20,North York,"Silver Hills, York Mills",43.7574902,-79.37471409999998,M2L,11717.0
21,North York,"Newtonbrook, Willowdale",43.789053,-79.40849279999998,M2M,32320.0
22,North York,Willowdale South,43.7701199,-79.40849279999998,M2N,75897.0
23,North York,York Mills West,43.7527583,-79.4000493,M2P,7843.0
24,North York,Willowdale West,43.7827364,-79.4422593,M2R,40792.0
25,North York,Parkwoods,43.7532586,-79.3296565,M3A,34615.0
26,North York,Don Mills North,43.7459058,-79.352188,M3B,13324.0
27,North York,"Flemingdon Park, Don Mills South",43.72589970000001,-79.340923,M3C,39153.0
28,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,M3H,37011.0
29,North York,"Northwood Park, York University",43.7679803,-79.48726190000002,M3J,25473.0
30,North York,"CFB Toronto, Downsview East",43.7374732,-79.46476329999999,M3K,5997.0
31,North York,Downsview West,43.7390146,-79.5069436,M3L,17339.0
32,North York,Downsview Central,43.7284964,-79.49569740000003,M3M,24046.0
33,North York,Downsview Northwest,43.7616313,-79.52099940000002,M3N,41958.0
34,North York,Victoria Village,43.7258823,-79.31557159999998,M4A,14443.0
35,East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937,M4B,18628.0
36,East York,Woodbine Heights,43.69534390000001,-79.3183887,M4C,46866.0
37,East Toronto,The Beaches,43.67635739999999,-79.2930312,M4E,25044.0
38,East York,Leaside,43.7090604,-79.3634517,M4G,19076.0
39,East York,Thorncliffe Park,43.7053689,-79.34937190000002,M4H,19688.0
40,East York,East Toronto,43.685347,-79.3381065,M4J,35738.0
41,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,M4K,31583.0
42,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.31557159999998,M4L,32640.0
43,East Toronto,Studio District,43.6595255,-79.340923,M4M,24689.0
44,Central Toronto,Lawrence Park,43.7280205,-79.3887901,M4N,15330.0
45,Central Toronto,Davisville North,43.7127511,-79.3901975,M4P,20039.0
46,Central Toronto,North Toronto West,43.7153834,-79.40567840000001,M4R,11394.0
47,Central Toronto,Davisville,43.7043244,-79.3887901,M4S,26506.0
48,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000002,M4T,10463.0
49,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,M4V,18241.0
50,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,M4W,14561.0
51,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753,M4X,20822.0
52,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000002,M4Y,30472.0
53,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,M5A,41078.0
54,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.37893709999999,M5B,12785.0
55,Downtown Toronto,St. James Town,43.6514939,-79.3754179,M5C,2951.0
56,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,M5E,9118.0
57,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,M5G,8423.0
58,Downtown Toronto,"Adelaide, King, Richmond",43.65057120000001,-79.3845675,M5H,2005.0
59,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999997,M5J,14545.0
