,nb_code,area,population,lat,lon
0,11226,"Brooklyn, New York",106154,40.64643,-73.956866
1,11373,"Elmhurst, New York",105723,40.737347,-73.878716
2,10021,"New York, New York",102078,40.769742,-73.961653
3,11368,"Corona, New York",98841,40.749407,-73.85278000000001
4,11385,"Ridgewood, New York",97524,40.700671,-73.889433
5,10025,"New York, New York",97086,40.797958,-73.964917
6,11236,"Brooklyn, New York",96301,40.639761,-73.90064
7,10467,"Bronx, New York",94342,40.87742,-73.872597
8,11220,"Brooklyn, New York",92718,40.641307,-74.016251
9,11230,"Brooklyn, New York",88933,40.622104,-73.965118
10,11377,"Woodside, New York",88339,40.744813,-73.90512199999999
11,11208,"Brooklyn, New York",87165,40.669598,-73.87127
12,11234,"Brooklyn, New York",86898,40.61254,-73.894255
13,11207,"Brooklyn, New York",86551,40.670361,-73.89384799999999
14,11219,"Brooklyn, New York",85987,40.632769,-73.99664200000001
15,11212,"Brooklyn, New York",85161,40.662907000000004,-73.91296899999999
16,11211,"Brooklyn, New York",85089,40.713507,-73.952578
17,10002,"New York, New York",84870,40.715952,-73.98586999999999
18,10314,"Staten Island, New York",84821,40.598825,-74.163336
19,11203,"Brooklyn, New York",84498,40.649411,-73.934397
20,11214,"Brooklyn, New York",83546,40.598667999999996,-73.996212
21,11355,"Flushing, New York",83281,40.750122999999995,-73.820977
22,11229,"Brooklyn, New York",80554,40.601293,-73.94449300000001
23,10468,"Bronx, New York",78309,40.868093,-73.89973
24,10458,"Bronx, New York",77840,40.862831,-73.886395
25,11223,"Brooklyn, New York",77691,40.597427,-73.973039
26,11235,"Brooklyn, New York",77451,40.583552000000005,-73.9479
27,10453,"Bronx, New York",76775,40.852779,-73.91233199999999
28,10456,"Bronx, New York",76656,40.830877,-73.907954
29,11221,"Brooklyn, New York",76363,40.691309999999994,-73.92777199999999
30,M2N,Willowdale South,75897,43.7701199,-79.40849279999998
31,10029,"New York, New York",75390,40.792245,-73.94523000000001
32,11204,"Brooklyn, New York",74880,40.618675,-73.984893
33,11218,"Brooklyn, New York",74611,40.643783,-73.975954
34,10452,"Bronx, New York",72138,40.837763,-73.923314
35,10462,"Bronx, New York",72077,40.842822999999996,-73.858861
36,11372,"Jackson Heights, New York",71308,40.751706,-73.883561
37,11375,"Forest Hills, New York",70204,40.722975,-73.843179
38,11209,"Brooklyn, New York",69840,40.622352,-74.03043100000001
39,10457,"Bronx, New York",69048,40.846687,-73.898374
40,11206,"Brooklyn, New York",69032,40.702037,-73.942444
